2грамма	частота
ож	0.001745192671676804
уд	0.0017377633089958355
ус	0.0017285650504384458
ля	0.0017253810378608878
са	0.0017161827793034982
ту	0.0016546252028040442
ду	0.001642950490019665
 а	0.0016309219980600016
их	0.0016100490267182328
ши	0.0015824542510460638
ще	0.0015806853551696427
ры	0.0015799777968190743
па	0.0015654728506324213
ул	0.0015491990085693473
чи	0.001548845229394063
ты	0.0015336327248568417
зн	0.001517712661969052
ут	0.0014971934698025673
гл	0.0014957783531014304
лу	0.0014752591609349457
ку	0.0014359896724783975
жи	0.0014267914139210079
ым	0.0014207771679411762
ее	0.0013793850044329227
ия	0.0013680640708238277
ьн	0.00135568179968888
ые	0.001340823074326943
ят	0.0013401155159763745
з 	0.0013397617368010903
ид	0.0013397617368010903
уж	0.0013273794656661426
бр	0.0013266719073155742
оп	0.001324549232263869
ае	0.001308629169376079
 я	0.0013015535858703947
ий	0.0012997846899939736
ек	0.001298723352468121
д 	0.0012866948605084576
тс	0.0012764352644252153
ез	0.0012654681099914045
лс	0.0012555622930834464
еб	0.0012138163503999087
еч	0.0012085096627706454
ых	0.0012053256501930875
тн	0.0012042643126672348
иц	0.0011943584957592767
ня	0.0011840988996760344
др	0.0011600419157567076
га	0.0011593343574061391
аж	0.00115438144895216
си	0.001149428540498181
вн	0.0011405840611160756
мн	0.001118649752248454
уг	0.0011083901561652117
лю	0.0011044985852370853
ую	0.0010885785223492955
су	0.001087870963998727
мы	0.0010864558472975902
гр	0.001061691305027695
гд	0.0010577997340995686
вш	0.0010549695006972948
дв	0.0010411721128612103
ша	0.001040818333685926
ба	0.0010365729835825155
бу	0.0010319738543038207
це	0.0010181764664677362
ич	0.0010167613497665993
ря	0.0010135773371890413
пи	0.0010121622204879045
еп	0.0010043790786316517
ош	9.93411924197841E-4
ум	9.866901198674408E-4
р 	9.767843029594827E-4
 ф	9.541424357412995E-4
нь	9.534348773907313E-4
бл	9.502508648131743E-4
ьк	9.46005514709765E-4
вр	9.42821502132208E-4
сн	9.406988270805034E-4
жн	9.346845811006735E-4
аю	9.311467893478324E-4
щи	9.26547660069139E-4
ыв	9.244249850174343E-4
жд	9.226560891410138E-4
 х	9.177031806870363E-4
вл	9.074435846037971E-4
 ш	8.925848592418645E-4
ах	8.918773008912963E-4
ьс	8.784336922305001E-4
ач	8.724194462506702E-4
зд	8.720656670753861E-4
еж	8.550842666617489E-4
ап	8.462397872796461E-4
пл	8.384566454233957E-4
ял	8.35980191196407E-4
аб	8.352726328458387E-4
дл	8.338575161447023E-4
зв	8.3279617861885E-4
рн	8.29612166041293E-4
уш	8.260743742884519E-4
пу	8.260743742884519E-4
чн	8.214752450097585E-4
уп	8.16876115731065E-4
ца	8.161685573804968E-4
би	7.839746524296429E-4
ву	7.768990689239607E-4
зе	7.765452897486766E-4
ир	7.691159270677103E-4
уч	7.666394728407215E-4
ье	7.609790060361757E-4
ои	7.588563309844711E-4
аг	7.485967349012319E-4
ук	7.277237635594694E-4
ии	7.270162052089012E-4
лы	7.270162052089012E-4
дь	7.171103883009462E-4
аш	6.923458460310585E-4
кл	6.909307293299221E-4
ув	6.884542751029333E-4
ыс	6.859778208759445E-4
оя	6.803173540713988E-4
ды	6.799635748961147E-4
см	6.764257831432736E-4
ур	6.74656887266853E-4
рт	6.735955497410007E-4
уб	6.68288862111739E-4
ыт	6.672275245858867E-4
еш	6.61567057781341E-4
